ID,Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Max Speed (km/hr),Track Gauge (mm),Overhead?,Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Cheap?,Clength,Ctunnel,Anglo?,Inflation Index,Real cost (2021 dollars),Cost/km (2021 dollars),Source2,Reference,,
7731,CN,Wuhan,Line 1,Line 1 Phase 1,2000,2003,0,10.234,0.00%,0,10.23,0,10,78,80,1435,0,Wiki,"2,199.00",CNY,2000,0.3673151248,807.03,78.9,0,0,0,0,1.573577236,"1,269.90",124.1,Media,https://zh.wikipedia.org/wiki/%E6%AD%A6%E6%B1%89%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A1%E5%8F%B7%E7%BA%BF#%E4%B8%80%E6%9C%9F%E5%B7%A5%E7%A8%8B; https://baike.baidu.com/item/%E6%AD%A6%E6%B1%89%E5%9C%B0%E9%93%811%E5%8F%B7%E7%BA%BF/,,
7179,PL,Warsaw,Line 2,Line 2 extension to Trocka,2015,2019,0,3.1,100.00%,3.1,0,0,3,,90,1435,0,Trade,"1,070",PLN,2017,0.5737632962,616.32,198.8,0,0,0,0,1.105458551,681.3,219.8,Trade,https://www.railjournal.com/passenger/metros/warsaw-metro-line-m2-reaches-targowek/,,
7737,CN,Wuhan,Line 1,Line 1 Phase 3 Hankou North,2011,2013,0,5.7,0.00%,0,5.7,0,3,,80,1435,0,Media,"2,361.00",CNY,2011,0.2837307645,670.52,117.6,0,0,0,0,1.204637702,807.7,141.7,Media,https://zh.wikipedia.org/wiki/%E6%AD%A6%E6%B1%89%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A1%E5%8F%B7%E7%BA%BF#%E4%B8%80%E6%9C%9F%E5%B7%A5%E7%A8%8B； http://www.whtpi.com/Service/22/1645.html,,
8145,CN,Beijing,Line 10,Line 10 South and West,2007,2012,0,32.46,100.00%,32.5,0,0,24,,100,1435,0,Measured,"2,378.40",CNY,2007,0.33272168,792.01,24.4,0,0,0,0,1.306874632,"1,035.10",31.9,Media,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E5%9C%B0%E9%93%8110%E5%8F%B7%E7%BA%BF#%E4%BA%8C%E6%9C%9F%E5%B7%A5%E7%A8%8B,,
9516,UZ,Tashkent,,Yunusabad Line extension,2017,2020,0,2.9,100.00%,2.9,0,0,2,,80,1520,0,Trade,125,USD,2018,0.0005630680064,624,215.2,0,0,0,0,1.079101738,673.4,232.2,Trade,https://www.railwaypro.com/wp/tashkent-metro-extension-is-underway/,,
8137,CN,Kunming,Line 1,Line 1 Southern Extension,2013,2015,0,7.3,100,7.3,#N/A,#N/A,3,,80,1435,1,Plan,"2,395.00",CNY,2013,0.2729522102,653.84,89.6,0,0,0,0,1.163176037,760.5,104.2,Plan,http://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=12400,,
7217,SE,Stockholm,,Arenastaden,2020,2030,0,4.1,100.00%,4.1,0,0,2,140,80,1435,1,Plan,"5,643",SEK,2016,0.1133454522,637.659,155.5,1,4.1,4.1,0,1.129008737,719.9,175.6,Plan,http://nyatunnelbanan.sll.se/sites/tunnelbanan/files/Faktablad_Upphandling_%20engelsk.pdf,,
7987,CN,Beijing,Line 8,Line 8 Phase 1 for Olympics,2005,2008,0,4.528,100.00%,4.528,0,0,4,,100,1435,0,Media,"2,420.00",CNY,2005,0.3519204829,851.6,188.1,0,0,0,0,1.387455197,"1,181.60",260.9,Media,https://www.360kuai.com/pc/9fb76b182add530db?cota=4&kuai_so=1&tj_url=so_rec&sign=360_7bc3b157; http://itdzs.org/OnLineMagazine/PDFView.aspx?ID=4,,
7233,IT,Milan,M5,M5 phase 1,2007,2013,0,6.1,100.00%,6.1,0,0,9,50,90,1435,0,agency,508,EUR,2010,1.293379964,660.4,108.3,1,6.1,6.1,0,1.242662435,820.7,134.5,Trade,http://www.expofairs.com/pianeta-costruzioni/001/pagina_017.pdf,,
7184,PL,Warsaw,Line 2,Line 2 extension to KJ,2015,2020,0,3.4,100.00%,3.4,0,0,3,,90,1435,0,Trade,"1,148",PLN,2017,0.5737632962,661.248,194.5,0,0,0,0,1.105458551,731,215,Trade,https://www.railwaygazette.com/metros/warszawa-metro-line-m2-goes-west/56191.article,,
